Fr,En
*un nom de vêtement*,happy
*un nom de pays ou de région*,long
matin,life
soir,(to) need
jour,side
nuit,bridge
printemps,(to) talk
été,(to) want
vieux / vieille,(to) kiss
seul(e),together
arbre,tomorrow / yesterday
gueule,forever
vin,man / men
eau,woman / women
marin / matelot,bed
bâteau / navire,(to) dream
pont,dark / darkness
fontaine,blue
pleurer,song / (to) sing
boire,friend
roi / reine,(to) smile
madame / mesdames,(to) call
joie,water
pain,river
tête,everybody / everyone
bière,nobody
main,(to) kill
pied,sea
histoire,(to) cry
demain,(to) look
bleu(e),foot / feet
rose,hand
ciel,(to) give
coup,(to) play
mer,little
terre,old
temps,girl
aimer,free
chemin,house / home
rue / route,bad
soleil,*a vehicle*
fleur,*a musical instrument*
beau / belle,somebody
bras,something
non,road / street
oublier,(to) walk
blond(e),gun
mai,sunshine
larme,child / children
quitter,baby
champ,star
an,moon
air,wind
bois,tree
frère,lady
enfant,pretty
fête,money
vent,stone
femme,music
homme,sun
œil / yeux,good
cheveux,morning
oiseau,night
poisson,day
mal,away
fils,sky
mère / maman,body
père / papa,heart
bar / café / bistrot,way
bal,world
noir(e),flower
blanc / blanche,sweet
grand(e),crazy
petit(e),time
corps,white
cœur,black
pays,father / daddy / dad
monde,mother / mummy / mum
amour,story
chapeau,love
*une année*,word
*un nom de ville*,nothing
pauvre,never
heureux / heureuse,always
jardin,only
couleur,why
mort(e),head
vie,eye
maison,*an animal*
rhum,goodbye
ami(e) / copain / copine,silver
guerre,gold
*un prénom féminin*,please
*un prénom masculin*,afternoon
personne,(to) come
gens,(to) answer
garçon,stranger
fille,town / city
toi,hair
moi,mind
toujours,*a drink*
jamais,shadow
chanteur / chanteuse / chanson,alone
jupon,wild
mot,(to) forget
triste,(to) remember